no,title,category,note
26,Anahtar kelime haritasi,SEO,Sorgulari gruplama
27,Taslak kontrolu,Icerik,Sira kontrolu
28,Giris metni,Yazim,Acilis taslagi
29,Bitis metni,Yazim,Kapanis taslagi
30,Soru listesi,SEO,Yaygin sorular
31,Baglanti plani,SEO,Ilgili sayfalar
32,Gorsel brief,Tasarim,Gorsel fikri
33,Alt metin,SEO,Gorsel aciklamasi
34,Aciklama metni,Sosyal,Kisa metin
35,Bulten fikri,Eposta,Haftalik konu
36,Kurs taslagi,Egitim,Ders listesi
37,Ders notu,Egitim,Basit anlatim
38,Test sorulari,Egitim,Alistirma listesi
39,Calisma kagidi,Egitim,Egzersiz plani
40,Rehber adimlari,Icerik,Adim listesi
41,Karsilastirma,Icerik,Farklari yazma
42,Arac notu,Icerik,Tarafsiz not
43,Ornek olay,Icerik,Hikaye sirasi
44,Kitle notu,Planlama,Okuyucu profili
45,Takvim,Planlama,Aylik konular
46,Arastirma notu,Is akisi,Verileri duzenleme
47,Brief sablonu,Is akisi,Uretici notu
48,Senaryo taslagi,Video,Sahne sirasi
49,Giris kancalari,Video,Acilis fikirleri
50,Kapanis cumlesi,Video,Bitis metni
